"Details","Ticket Number","Building","Return Site","Repair Type","Serial Number","Repair Device","Asset Tag","Internal Technician Name","Student Name","Repair Status","In House Status","Warranty Status","Created By","Created Date","Last Modified Date"
"","V0065298","Carlson Elementary","","In-House","VIVATEST28Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Akash","","Intake","Intake","","demo_adminsuper@vivacitytech.com","05-29-2024 18:18:44","05-29-2024 18:18:44"
"","V0064978","GVL","","In-House","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","AssetTestEdit","Aaron Chinander","","Intake","Intake","","Conan Malady","05-24-2024 23:08:03","05-24-2024 23:08:03"
"","V0064974","GVL","","In-House","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","AssetTestEdit","Aaron Chinander","","Intake","Intake","","Conan Malady","05-24-2024 23:05:17","05-24-2024 23:05:17"
"","V0063507","GVL","","In-House","VIVATEST91Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Akash","","Waiting_on_Repair_Approval","Intake","","Chase Roberts","05-20-2024 21:11:53","05-20-2024 21:11:53"
"","V0063356","","","In-House","VIVATEST34Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Veronica Martinez","","Complete","Intake","","Maleja Duque","05-18-2024 02:25:59","05-23-2024 23:13:01"
"","V0062358","Carlson Elementary","","In-House","VIVATEST51Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Jason Emricson","","Waiting_on_Repair_Approval","Intake","","Madhuri Ravilla","05-14-2024 01:58:39","05-14-2024 01:59:15"
"","V0062357","Dream Building","","In-House","VIVATEST82Test","VT Chromebook","","Akash","","Intake","Intake","","Madhuri Ravilla","05-14-2024 01:58:03","05-14-2024 01:58:03"
"","V0061338","Remote Cloud Campus","","In-House","VIVATEST25Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","","","Waiting_on_Repair_Approval","Intake","","Conan Malady","05-08-2024 20:10:18","05-09-2024 01:52:15"
"","V0060928","","","In-House","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","AssetTestEdit","Sohan Saini","","Waiting_on_Repair_Approval","Intake","","Madhuri Ravilla","05-06-2024 19:24:02","05-06-2024 19:37:00"
"","V0060927","CCDream Test1","","In-House","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","AssetTestEdit","Akash","","Intake","Intake","","Madhuri Ravilla","05-06-2024 19:23:45","05-06-2024 19:23:45"
"","V0060922","GVL","","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Sohan Saini","","Waiting_on_Repair_Approval","Intake","","Maleja Duque","05-06-2024 19:09:54","05-06-2024 19:10:43"
"","V0059970","","Sejong Academy II","In-House","VIVATEST5Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","","","Waiting_on_Repair_Approval","Intake","Non_Warranty","demo_adminvivacity@vivacitytech.com","05-01-2024 00:03:55","05-01-2024 00:03:55"
"","V0059620","123 TestMalejawjqnejqe","","In-House","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","AssetTestEdit","Aaron Chinander","","Intake","Intake","","demo_adminvivacity@vivacitytech.com","04-29-2024 15:25:52","04-29-2024 15:25:52"
"","V0059619","GVL","","In-House","P206P12Test","Lenovo ThinkPad C14 Gen 1 Chromebook - Intel/8GB/256GB - Non-Touch","3","Aaron Chinander","","Waiting_on_Repair_Approval","Intake","","demo_adminvivacity@vivacitytech.com","04-29-2024 15:23:26","04-29-2024 15:23:26"
"","V0059618","GVL","","In-House","P206P12Test","Lenovo ThinkPad C14 Gen 1 Chromebook - Intel/8GB/256GB - Non-Touch","3","Aaron Chinander","","Intake","Intake","","demo_adminvivacity@vivacitytech.com","04-29-2024 15:23:01","04-29-2024 15:23:01"
"","V0059359","Remote Cloud Campus","","In-House","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","AssetTestEdit","Aaron Chinander","","Part_Queue","Intake","","Conan Malady","04-26-2024 21:07:43","04-26-2024 21:20:17"
"","V0059314","Building Three","","In-House","VIVATEST58Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Veronica Martinez","","Intake","Intake","","Mohammed Raja","04-26-2024 11:38:01","04-26-2024 11:38:01"
"","V0059295","Greenville Warehouse","","In-House","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Akash","","Waiting_on_Repair_Approval","Intake","","demo_adminvivacity@vivacitytech.com","04-26-2024 00:56:24","04-26-2024 00:57:33"
"","V0057173","Remote Cloud Campus","","In-House","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","AssetTestEdit","Aaron Chinander","","Repair","Repair","","Conan Malady","04-17-2024 01:44:55","04-17-2024 01:50:36"
"","V0056916","GVL","","In-House","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","AssetTestEdit","Aaron Chinander","","Repair","Repair","","Conan Malady","04-16-2024 21:58:17","04-16-2024 22:01:49"
"","V0056913","","","In-House","VIVATEST28Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Aaron Chinander","","Waiting_on_Repair_Approval","Part_Queue","","Conan Malady","04-16-2024 21:56:41","04-20-2024 02:34:40"
"","V0056841","","","In-House","VIVATEST91Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Veronica Martinez","","Waiting_on_Repair_Approval","Repair","","Maleja Duque","04-16-2024 18:54:49","09-06-2024 22:30:06"
"","V0056696","Adams Elementary","","In-House","VIVATEST91Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Philip Kim","","Repair","Repair","","demo_adminvivacity@vivacitytech.com","04-15-2024 23:10:17","04-15-2024 23:25:41"
"","V0056667","GVL","","In-House","VIVATEST0Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Sohan Saini","","Waiting_on_Repair_Approval","Part_Queue","","demo_adminvivacity@vivacitytech.com","04-15-2024 20:48:59","04-15-2024 20:48:59"
"","V0056656","GVL","","In-House","VIVATEST79Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Jason Emricson","","Waiting_on_Repair_Approval","Part_Queue","","demo_adminvivacity@vivacitytech.com","04-15-2024 20:32:05","04-15-2024 20:32:58"
"","V0056645","Carlson Elementary","","In-House","VIVATEST51Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Akash","","Waiting_on_Repair_Approval","Part_Queue","","demo_repairtech@vivacitytech.com","04-15-2024 19:49:56","04-15-2024 19:49:56"
"","V0056643","GVL2","","In-House","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","AssetTestEdit","Aaron Chinander","","Part_Queue","Part_Queue","","Conan Malady","04-15-2024 19:26:21","04-15-2024 19:27:18"
"","V0056642","GVL2","","In-House","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","AssetTestEdit","Aaron Chinander","","Part_Queue","Part_Queue","","Conan Malady","04-15-2024 19:19:17","04-15-2024 19:19:59"
"","V0056272","Building Two","","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Akash","","Waiting_on_Repair_Approval","Part_Queue","","demo_repairtech@vivacitytech.com","04-12-2024 02:45:30","04-15-2024 06:29:32"
"","V0056257","123 TestMalejawjqnejqe","","In-House","VIVATEST46Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Akash","","Waiting_on_Repair_Approval","Part_Queue","","demo_adminvivacity@vivacitytech.com","04-12-2024 02:22:43","04-12-2024 02:23:42"
"","V0056256","GVL","","In-House","VIVATEST51Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Sohan Saini","","Waiting_on_Repair_Approval","Part_Queue","","demo_adminvivacity@vivacitytech.com","04-12-2024 02:20:57","04-12-2024 02:21:45"
"","V0056241","CCDream Test1","","In-House","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","AssetTestEdit","Aaron Chinander","","Waiting_on_Repair_Approval","Part_Queue","","demo_adminvivacity@vivacitytech.com","04-12-2024 02:08:47","04-12-2024 02:09:20"
"","V0056233","Carlson Elementary","","In-House","VIVATEST40Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Aaron Chinander","","Waiting_on_Repair_Approval","Part_Queue","","demo_adminvivacity@vivacitytech.com","04-12-2024 01:48:29","04-12-2024 01:49:10"
"","V0056226","GVL","","In-House","VIVATEST91Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Victor Hernandez","","Waiting_on_Repair_Approval","Part_Queue","","Maleja Duque","04-12-2024 01:20:42","04-12-2024 01:21:17"
"","V0056222","GVL","","In-House","VIVATEST91Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Veronica Martinez","","Waiting_on_Repair_Approval","Part_Queue","","Maleja Duque","04-12-2024 01:17:04","04-12-2024 01:17:40"
"","V0056220","GVL","","In-House","VIVATEST91Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Veronica Martinez","","Intake","Intake","","Maleja Duque","04-12-2024 01:10:09","04-12-2024 01:10:09"
"","V0056219","Dream Building","","In-House","VIVATEST119Test","VT Chromebook","""0HOpc*q<x","Veronica Martinez","","Intake","Intake","","Maleja Duque","04-12-2024 01:06:37","04-12-2024 01:06:37"
"","V0055941","GVL","","In-House","VIVATEST5Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Waiting_on_Repair_Approval","Part_Queue","","Maleja Duque","04-11-2024 01:50:34","04-11-2024 01:51:25"
"","V0055912","GVL","","In-House","VIVATEST20Test","VT Chromebook","","Veronica Martinez","","Intake","Intake","","madhuriravilla","04-10-2024 23:54:29","04-10-2024 23:54:29"
"","V0055852","GVL","","In-House","VIVATEST41Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Veronica Martinez","","Intake","Intake","","madhuriravilla","04-10-2024 21:23:59","04-10-2024 21:36:35"
"","V0055755","GVL","","In-House","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","AssetTestEdit","Aaron Chinander","","Part_Queue","Part_Queue","","Conan Malady","04-10-2024 02:16:54","04-10-2024 02:19:07"
"","V0055522","GVL","","In-House","VIVATEST79Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Nancy Stewart","","Waiting_on_Repair_Approval","Part_Queue","","Maleja Duque","04-09-2024 03:36:51","04-09-2024 03:37:24"
"","V0055325","JFK Junior High","","In-House","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","AssetTestEdit","Aaron Chinander","","Part_Queue","Part_Queue","","Conan Malady","04-09-2024 00:01:14","04-09-2024 00:02:52"
"","V0055269","GVL","","In-House","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","AssetTestEdit","Aaron Chinander","","Part_Queue","Part_Queue","","Conan Malady","04-08-2024 19:04:39","04-08-2024 19:04:39"
"","V0055262","Greenville Warehouse","","In-House","VIVATEST138Test","VT Chromebook","y9E0|4(""4]","Akash","","Intake","Intake","","Sohan Saini","04-06-2024 11:58:18","04-06-2024 11:58:18"
"","V0055261","GVL","","In-House","1100901Test","VT Chromebook","12333","Aaron Chinander","","Intake","Intake","","Sohan Saini","04-06-2024 11:49:24","04-06-2024 11:49:24"
"","V0054962","GVL","","In-House","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","AssetTestEdit","Aaron Chinander","","Part_Queue","Part_Queue","","Conan Malady","04-04-2024 23:13:39","04-04-2024 23:13:39"
"","V0054961","GVL","","In-House","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","AssetTestEdit","Aaron Chinander","","Waiting_on_Repair_Approval","Part_Queue","","Conan Malady","04-04-2024 23:12:11","04-04-2024 23:12:11"
"","V0054899","Dream Building","","In-House","VIVATEST28Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Sohan Saini","","Waiting_on_Repair_Approval","Part_Queue","","demo_adminvivacity@vivacitytech.com","04-04-2024 01:41:10","04-04-2024 02:04:14"
"","V0054898","Carlson Elementary","","In-House","VIVATEST91Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Akash","","Intake","Intake","","demo_adminvivacity@vivacitytech.com","04-04-2024 01:36:23","04-04-2024 01:36:23"
"","V0054897","Carlson Elementary","","In-House","VIVATEST119Test","VT Chromebook","""0HOpc*q<x","Veronica Martinez","","Intake","Intake","","demo_adminvivacity@vivacitytech.com","04-04-2024 01:35:55","04-04-2024 01:35:55"
"","V0054820","Midway High","","In-House","P206P12Test","Lenovo ThinkPad C14 Gen 1 Chromebook - Intel/8GB/256GB - Non-Touch","3","Sohan Saini","","Intake","Intake","","demo_adminschooldistrict@vivacitytech.com","04-03-2024 10:47:28","04-03-2024 10:47:28"
"","V0054819","Dream Building","","In-House","1100907Test","Vivacity Tech Demo Chromebook - Intel/4GB/16GB - Non-Touch","AssetTestEdit","Veronica Martinez","","Intake","Intake","","demo_adminschooldistrict@vivacitytech.com","04-03-2024 10:45:44","04-03-2024 10:45:44"
"","V0054807","GVL","","In-House","VIVATEST0Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","","","Waiting_on_Repair_Approval","Part_Queue","","Conan Malady","04-03-2024 02:40:15","04-03-2024 02:41:15"
"","V0054806","Remote Cloud Campus","","In-House","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","AssetTestEdit","Aaron Chinander","","Waiting_on_Repair_Approval","Part_Queue","","Conan Malady","04-03-2024 02:33:54","04-03-2024 02:35:17"
"","V0054805","GVL","","In-House","VIVATEST41Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Akash","","Waiting_on_Repair_Approval","Part_Queue","","demo_adminvivacity@vivacitytech.com","04-03-2024 02:16:47","04-03-2024 02:21:04"
"","V0054804","Carlson Elementary","","In-House","VIVATEST20Test","VT Chromebook","","Veronica Martinez","","Intake","Intake","","demo_adminschooldistrict@vivacitytech.com","04-03-2024 02:10:58","04-03-2024 02:10:58"
"","V0054803","Greenville Warehouse","","In-House","VIVATEST79Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Sherri","","Waiting_on_Repair_Approval","Part_Queue","","demo_adminschooldistrict@vivacitytech.com","04-03-2024 02:08:44","04-03-2024 02:11:34"
"","V0054802","Dream Building","","In-House","VIVATEST25Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Sohan Saini","","Intake","Intake","","demo_adminschooldistrict@vivacitytech.com","04-03-2024 02:07:22","04-03-2024 02:07:22"
"","V0054801","GVL","","In-House","VIVATEST0Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Aaron Chinander","","Waiting_on_Repair_Approval","Part_Queue","","Conan Malady","04-03-2024 02:02:18","04-03-2024 02:05:37"
"","V0054796","GVL","","In-House","VIVATEST91Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Eli Maloley","","Waiting_on_Repair_Approval","Part_Queue","","Maleja Duque","04-03-2024 01:38:57","04-03-2024 01:39:49"
"","V0054719","Building Three","","In-House","VIVATEST91Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Victor Hernandez","","Waiting_on_Repair_Approval","Part_Queue","","Maleja Duque","04-02-2024 04:08:08","04-02-2024 04:08:46"
"","V0054706","GVL","","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Aaron Chinander","","Waiting_on_Repair_Approval","Part_Queue","","Conan Malady","04-02-2024 02:22:44","04-02-2024 02:23:33"
"","V0054704","GVL","","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Sohan Saini","","Waiting_on_Repair_Approval","Part_Queue","","Maleja Duque","04-02-2024 01:42:32","04-02-2024 01:43:21"
"","V0054703","GVL","","In-House","VIVATEST58Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Veronica Martinez","","Waiting_on_Repair_Approval","Part_Queue","","Maleja Duque","04-02-2024 01:39:29","04-02-2024 01:40:37"
"","V0054702","GVL","","In-House","VIVATEST41Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Aaron Chinander","","Waiting_on_Repair_Approval","Part_Queue","","Conan Malady","04-02-2024 01:36:58","04-02-2024 01:37:29"
"","V0054701","GVL","","In-House","VIVATEST34Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Akash","","Waiting_on_Repair_Approval","Part_Queue","","Conan Malady","04-02-2024 01:34:21","04-02-2024 01:34:52"
"","V0054700","GVL","","In-House","VIVATEST28Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Veronica Martinez","","Waiting_on_Repair_Approval","Part_Queue","","Maleja Duque","04-02-2024 01:28:33","04-02-2024 01:29:45"
"","V0054691","GVL","","In-House","VIVATEST79Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Akash","","Waiting_on_Repair_Approval","Part_Queue","","Conan Malady","04-01-2024 23:48:17","04-01-2024 23:49:14"
"","V0053437","","","In-House","VIVATEST80Test","VT Chromebook","","Nancy Stewart","","Waiting_on_Repair_Approval","Part_Queue","","Chase Roberts","03-27-2024 00:18:06","03-27-2024 02:20:54"
"","V0052129","Building Two","","In-House","VIVATEST20Test","VT Chromebook","","Akash","","Waiting_on_Repair_Approval","Part_Queue","","Dream","03-19-2024 18:35:50","03-19-2024 18:35:50"
"","V0052126","Dream Building","","In-House","VIVATEST119Test","VT Chromebook","""0HOpc*q<x","Akash","","Waiting_on_Repair_Approval","Part_Queue","","Dream","03-19-2024 18:33:53","03-19-2024 18:33:53"
"","V0051816","GVL","","In-House","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","AssetTestEdit","Akash","","Part_Queue","Part_Queue","","Conan Malady","03-16-2024 01:24:29","03-16-2024 01:24:29"
"","V0051232","","GVL2","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","","","Waiting_on_Repair_Approval","Part_Queue","Non_Warranty","","03-13-2024 20:40:09","03-13-2024 20:40:09"
"","V0051213","","","In-House","VIVATEST9Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Jason Emricson","","Waiting_on_Repair_Approval","Part_Queue","","Conan Malady","03-13-2024 19:55:53","03-13-2024 20:00:07"
"","V0051036","Greenville Warehouse","","In-House","P206P12Test","Lenovo ThinkPad C14 Gen 1 Chromebook - Intel/8GB/256GB - Non-Touch","3","Sohan Saini","","Intake","Intake","","Dream","03-12-2024 19:54:48","03-12-2024 19:54:48"
"","V0050979","","","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Akash","","Waiting_on_Repair_Approval","Part_Queue","","Conan Malady","03-11-2024 21:26:08","03-16-2024 01:30:56"
"","V0049073","","GVL2","In-House","856324gzTest","VT Chromebook","test123","","","Pending_Repair_Box","Part_Queue","Non_Warranty","","02-29-2024 23:31:03","02-29-2024 23:31:03"
"","V0042821","GVL","","In-House","856324gzTest","VT Chromebook","test123","Maleja DB test","","Intake","Intake","","Dream","01-26-2024 01:14:40","01-26-2024 01:14:40"
"","V0039238","Building One","","In-House","VIVATEST2Test","VT Chromebook","VivaTEST2Test","Alejandra123 Duque","","Intake","Intake","","Dream","12-15-2023 05:43:28","12-15-2023 05:43:28"
"","V0039237","GVL","","In-House","VIVATEST2Test","VT Chromebook","VivaTEST2Test","Alejandra123 Duque","","Intake","Intake","","Dream","12-15-2023 04:53:31","12-15-2023 04:53:31"
"","V0039236","Building One","","In-House","VIVATEST2Test","VT Chromebook","VivaTEST2Test","test","","Intake","Intake","","Dream","12-15-2023 04:51:42","12-15-2023 04:51:42"
"","V0039234","Humphrey High","","In-House","VIVATEST2Test","VT Chromebook","VivaTEST2Test","Alejandra123 Duque","","Intake","Intake","","Dream","12-15-2023 03:54:18","12-15-2023 03:54:18"
"","V0039175","Nelson Cheese and Deli","","In-House","VIVATEST97Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Alejandra123 Duque","","Intake","Intake","","Dream","12-14-2023 04:05:04","12-14-2023 04:05:04"
"","V0039004","Building Two","","In-House","VIVATEST2Test","VT Chromebook","VivaTEST2Test","Alejandra123 Duque","","Intake","Intake","","Dream","12-13-2023 05:11:20","12-13-2023 05:11:20"
"","V0039003","Building One","","In-House","VIVATEST2Test","VT Chromebook","VivaTEST2Test","Maleja123","","Intake","Intake","","Dream","12-13-2023 04:05:18","12-13-2023 04:05:18"
"","V0039002","GVL","","In-House","VIVATEST26Test","VT Chromebook","12345612345612","","","Intake","Intake","","Conan Malady","12-13-2023 03:05:59","12-13-2023 03:05:59"
"","V0039001","GVL","","In-House","VIVATEST26Test","VT Chromebook","12345612345612","Maleja123","","Intake","Intake","","Conan Malady","12-13-2023 03:05:06","12-13-2023 03:05:06"
"","V0039000","GVL","","In-House","VIVATEST12Test","VT Chromebook","TestTag","Maleja123","","Intake","Intake","","Conan Malady","12-13-2023 03:04:01","12-13-2023 03:04:01"
"","V0038999","GVL","","In-House","VIVATEST47Test","VT Chromebook","","","","Intake","Intake","","Conan Malady","12-13-2023 03:01:23","12-13-2023 03:01:23"
"","V0038998","GVL","","In-House","VIVATEST27Test","VT Chromebook","1","Maleja123","","Intake","Intake","","Conan Malady","12-13-2023 03:00:41","12-13-2023 03:00:41"
"","V0038997","GVL","","In-House","VIVATEST2Test","VT Chromebook","VivaTEST2Test","","","Intake","Intake","","Conan Malady","12-13-2023 02:54:09","12-13-2023 02:54:09"
"","V0038977","GVL","","In-House","VIVATEST2Test","VT Chromebook","VivaTEST2Test","","","Intake","Intake","","Conan Malady","12-12-2023 22:58:21","12-12-2023 22:58:21"
"","V0038976","GVL","","In-House","VIVATEST2Test","VT Chromebook","VivaTEST2Test","Maleja123","","Intake","Intake","","Conan Malady","12-12-2023 22:57:31","12-12-2023 22:57:31"
"","V0037552","GVL","","In-House","VIVATEST2Test","VT Chromebook","VivaTEST2Test","Maleja Duque","","Intake","Intake","","Conan Malady","12-04-2023 23:17:53","12-04-2023 23:17:53"
"","VAL2023110811120170","","GVL","In-House","VIVATEST72Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","","","Pending_Repair_Box","Part_Queue","Non_Warranty","demo_adminsuper@vivacitytech.com","11-08-2023 11:12:15","11-08-2023 11:12:15"
"","VAL2023110214061487","","","In-House","VIVATEST145Test","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","3F[v3}&)`F","Maleja Duque","","Intake","Intake","","Dream","11-02-2023 23:36:15","11-03-2023 21:37:26"
"","VAL2023110213040086","","","In-House","VIVATEST172Test","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","aoO>4<qK5?","Maleja Duque","","Repair","Repair","","Dream","11-02-2023 22:34:01","11-02-2023 22:44:04"
"","VAL202310090939029","Remote Cloud Campus","GVL2","In-House","VIVATEST122Test","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","YF_[4:nQaF","","","Pending_Repair_Box","Part_Queue","Non_Warranty","Conan Malady","10-09-2023 20:09:03","10-09-2023 20:09:03"
"","VAL2023100917093241","","GVL","In-House","VIVATEST144Test","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","tq'u%67lK_","","","Pending_Repair_Box","Part_Queue","Non_Warranty","Dream","10-09-2023 17:08:52","10-09-2023 17:08:52"
"","VAL2023100608534555","","","In-House","VIVATEST121Test","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","WG@EJ]oU(6","demo admin sd","","Repair","Repair","","Dream","10-06-2023 14:23:45","10-12-2023 00:26:57"
"","VAL2023100612272430","SAMPLE 1","SAMPLE 1","In-House","TEST089","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","me78","","","Pending_Repair_Box","Part_Queue","Non_Warranty","Dream","10-06-2023 12:27:25","10-06-2023 12:27:25"
"","VAL2023100611565034","","SAMPLE 1","In-House","1234AC","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","673TY","","","Pending_Repair_Box","Part_Queue","Non_Warranty","Dream","10-06-2023 11:56:51","10-06-2023 11:56:51"
"","VAL2023100313060839","","","In-House","VIVATEST108Test","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","[8h^,YschB","demo admin sd","","Repair","Repair","","Dream","10-03-2023 18:36:08","10-06-2023 05:30:00"
"","VAL2023100310184773","","","In-House","VIVATEST179Test","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","Fe09u^F1OU","test","","Repair","Repair","","Dream","10-03-2023 15:48:47","10-16-2023 20:20:26"
"","VAL2023100308303962","","","In-House","VIVATEST177Test","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","xK.Uu1%lW[","demo admin sd","","Intake","Intake","","Dream","10-03-2023 14:00:39","10-03-2023 14:00:39"
"","VAL2023100308175028","","","In-House","VIVATEST176Test","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch",">&?#ZQxy8%","demo admin sd","","Intake","Intake","","Dream","10-03-2023 13:47:50","10-03-2023 13:47:50"
"","VAL2023100214301140","","","In-House","867530910223","Acer Chromebook 11 N7 C731T-C42N - Intel/4GB/16GB - Touch","867530910223","Dream","","Repair","Repair","","Dream","10-02-2023 20:00:11","01-20-1202 05:53:28"
"","VAL2023092711554418","","","In-House","VIVATEST51Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","test","","In_Transit","Part_Queue","","Dream","09-27-2023 21:25:44","09-27-2023 05:30:00"
"","VAL2023092709330433","","","In-House","VIVATEST20Test","VT Chromebook","","test","","Repair","Repair","","Conan Malady","09-27-2023 20:03:04","09-27-2023 21:08:52"
"","VAL2023092512464020","","","In-House","VIVATEST98Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Akash","","Repair","Repair","","Dream","09-25-2023 18:16:42","09-27-2023 05:30:00"
"","VAL2023092009144315","","","In-House","VIVATEST42Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Dream","","In_Transit","Part_Queue","","Conan Malady","09-20-2023 19:44:44","09-21-2023 05:30:00"
"","VAL2023091408554666","","","In-House","VIVATEST44Test","VT Chromebook","","Ben Erickson","","Complete","Intake","","Conan Malady","09-14-2023 19:25:46","09-14-2023 19:25:46"
"","VAL2023091109224325","","","In-House","1244Test","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","132","Ben Erickson","","Complete","Intake","","Conan Malady","09-11-2023 19:52:44","09-11-2023 19:52:44"
"","VAL202309110915324","","","In-House","VIVATEST41Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","TesterRT","","Complete","Intake","","Dream","09-11-2023 14:45:32","09-11-2023 14:45:32"
"","VAL2023090819451637","","","In-House","VIVATEST74Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","TesterRT","","Complete","Intake","","Dream","09-09-2023 05:15:17","09-09-2023 05:15:17"
